Depth	Signal	EC.Value	HP.PresDown	color
21.5	3.581	5.31	7.66	#D4C84A
21.75	3.33	5.53	8.31	#D4C84A
22	2.978	6.94	8.35	#6B8E23
22.25	1.427	6.55	8.81	#6B8E23
22.5	1.3	6.68	9.43	#6B8E23
22.75	0.995	7.94	9.76	#6B8E23
23	0.814	7.27	10.38	#6B8E23
23.25	0.953	7.78	10.45	#6B8E23
23.5	0.751	8.01	10.23	#6B8E23
23.75	0.481	7.79	10.8	#B0B0B0
24	0.34	7.88	10.9	#B0B0B0
24.25	0.294	7.64	11.06	#B0B0B0
24.5	0.186	8.14	10.98	#B0B0B0
24.75	0.147	7.89	11.4	#B0B0B0
25	0.225	8.02	11.14	#B0B0B0
25.25	0.109	8.75	11.21	#B0B0B0
25.5	0.261	8.64	11.59	#B0B0B0
25.75	0.121	8.26	11.39	#B0B0B0
26	0.108	8.32	11.47	#B0B0B0
26.25	0.186	7.74	11.66	#B0B0B0
26.5	0.125	9.15	11.76	#B0B0B0
26.75	0.096	8.88	11.81	#B0B0B0
27	0.083	9	11.78	#B0B0B0
27.25	0.094	9.23	11.82	#B0B0B0
27.5	0.12	8.68	12.05	#B0B0B0
27.75	0.006	9.02	12.21	#B0B0B0
28	0.149	9.77	11.89	#B0B0B0
28.25	0.071	10	11.92	#B0B0B0
28.5	0.037	9.47	12.24	#B0B0B0
28.75	0.159	9.16	12.08	#B0B0B0
29	0.4	9.38	12.34	#B0B0B0
29.25	0.22	10.12	12.53	#B0B0B0
29.5	0.366	9.34	12.18	#B0B0B0
29.75	0.217	9.54	12.49	#B0B0B0
30	0.082	10.49	12.48	#B0B0B0
30.25	0.044	9.9	12.75	#B0B0B0
30.5	0.035	10.13	12.73	#B0B0B0
30.75	0.056	10.22	13	#B0B0B0
31	0.211	10.47	12.67	#B0B0B0
31.25	0.069	10.5	12.87	#B0B0B0
