Depth	Signal	EC.Value	HP.PresDown	color
18.5	2.762	10.95	7.83	#6B8E23
18.75	3.587	10.13	7.98	#D4C84A
19	3.144	10.51	8.21	#D4C84A
19.25	3.395	10.13	8.18	#D4C84A
19.5	4.546	10.67	8.55	#D4C84A
19.75	2.048	9.89	8.59	#6B8E23
20	2.086	8.9	8.66	#6B8E23
20.25	1.352	9.12	8.35	#6B8E23
20.5	1.468	8.89	8.56	#6B8E23
20.75	1.999	7.71	8.48	#6B8E23
21	1.495	7.25	8.49	#6B8E23
21.25	1.574	5.74	8.29	#6B8E23
21.5	1.415	5.02	7.99	#6B8E23
21.75	0.851	4.9	8.38	#6B8E23
22	1.333	4.93	8.41	#6B8E23
22.25	0.645	5.65	8.89	#6B8E23
22.5	1.265	7	8.98	#6B8E23
22.75	0.497	6.99	9.37	#B0B0B0
23	0.356	6.99	10.02	#B0B0B0
23.25	0.429	7.13	10.29	#B0B0B0
23.5	0.247	7.13	10.68	#B0B0B0
23.75	0.193	6.91	10.52	#B0B0B0
24	0.285	7.6	11.05	#B0B0B0
24.25	0.241	8.08	10.7	#B0B0B0
24.5	0.122	8.2	10.92	#B0B0B0
24.75	0.267	7.82	10.79	#B0B0B0
25	0.153	7.79	11.08	#B0B0B0
25.25	0.244	7.73	11.51	#B0B0B0
25.5	0.038	7.58	11.47	#B0B0B0
25.75	0.026	7.64	11.27	#B0B0B0
26	0.465	9.29	11.63	#B0B0B0
26.25	0.065	8.54	11.79	#B0B0B0
26.5	0.223	8.98	11.45	#B0B0B0
26.75	0.094	8.71	11.73	#B0B0B0
27	0.016	9.15	12.02	#B0B0B0
27.25	0.035	7.89	12.01	#B0B0B0
27.5	0.458	8.26	12.17	#B0B0B0
27.75	0.061	8.21	12.29	#B0B0B0
28	0.233	9.71	11.82	#B0B0B0
28.25	0.212	9.35	12.2	#B0B0B0
28.5	0.135	9.25	12.22	#B0B0B0
28.75	0.003	9.49	12.25	#B0B0B0
29	0.044	9.34	12.19	#B0B0B0
29.25	0.022	9.9	12.26	#B0B0B0
29.5	0.128	9.29	12.6	#B0B0B0
29.75	0.417	9.76	12.43	#B0B0B0
30	0.008	10.32	12.42	#B0B0B0
30.25	0.126	8.97	12.44	#B0B0B0
30.5	0.28	10.37	12.99	#B0B0B0
30.75	0.123	10.66	12.65	#B0B0B0
31	0.059	9.77	13.03	#B0B0B0
31.25	0.008	9.86	12.66	#B0B0B0
31.5	0.269	10.05	13.05	#B0B0B0
31.75	0.011	10.25	12.87	#B0B0B0
32	0.192	9.74	13.43	#B0B0B0
32.25	0.303	9.32	13.41	#B0B0B0
32.5	0.122	11.09	13.22	#B0B0B0
32.75	0.071	10.22	13.39	#B0B0B0
33	0.087	10.63	13.61	#B0B0B0
33.25	0.475	10.01	13.46	#B0B0B0
33.5	0.052	9.14	13.82	#B0B0B0
33.75	0.162	10.36	13.78	#B0B0B0
34	0.28	9.49	14.13	#B0B0B0
34.25	0.06	9.65	14.26	#B0B0B0
34.5	0.147	8.11	14.07	#B0B0B0
34.75	0.244	9.57	14.51	#B0B0B0
35	0.261	9.32	14.59	#B0B0B0
35.25	0.037	8.65	14.74	#B0B0B0
35.5	0.138	8.72	14.8	#B0B0B0
35.75	0.252	8.32	15.24	#B0B0B0
36	0.132	8.03	14.92	#B0B0B0
36.25	0.039	8.26	15.38	#B0B0B0
36.5	0.03	8.14	15.69	#B0B0B0
36.75	0.12	8.64	15.43	#B0B0B0
37	0.255	7.91	15.65	#B0B0B0
37.25	0.03	8.55	15.75	#B0B0B0
37.5	0.108	7.98	15.85	#B0B0B0
