Depth	Signal	EC.Value	HP.PresDown	color
17.5	38.654	13.98	7.29	#C03020
17.75	31.381	13.93	7.36	#E07B30
18	32.631	15.16	7.47	#E07B30
18.25	49.434	13.97	7.59	#C03020
18.5	41.584	13.14	7.87	#C03020
18.75	20.392	12.41	7.83	#E07B30
19	29.102	14.14	7.9	#E07B30
19.25	24.496	12.29	7.89	#E07B30
19.5	25.042	12.99	7.66	#E07B30
19.75	18.33	10.56	7.73	#E07B30
20	15.012	9.87	7.4	#E07B30
20.25	22.255	9.8	7.4	#E07B30
20.5	21.849	9.08	7.17	#E07B30
20.75	14.046	8.82	7.68	#E07B30
21	13.496	9	7.84	#E07B30
21.25	12.121	9.3	7.94	#E07B30
21.5	12.79	8.77	8.97	#E07B30
21.75	4.14	8.29	9.34	#D4C84A
22	7.414	9.79	9.53	#D4C84A
22.25	3.264	8.18	9.97	#D4C84A
22.5	4.692	9.01	9.94	#D4C84A
22.75	1.935	9.05	10.3	#6B8E23
23	2.088	8.25	10.44	#6B8E23
23.25	2.966	8.13	10.75	#6B8E23
23.5	1.543	8.13	10.72	#6B8E23
23.75	0.559	7.71	10.57	#6B8E23
24	0.807	7.92	10.86	#6B8E23
24.25	0.674	7.71	10.96	#6B8E23
24.5	0.276	8.07	11.29	#B0B0B0
24.75	0.32	8.07	11.07	#B0B0B0
25	0.389	7.59	11.43	#B0B0B0
25.25	0.243	7.73	11.45	#B0B0B0
25.5	0.213	8.89	11.47	#B0B0B0
25.75	0.137	8.38	11.26	#B0B0B0
26	0.176	8.29	11.49	#B0B0B0
26.25	0.077	8.38	11.78	#B0B0B0
26.5	0.043	8.43	11.72	#B0B0B0
26.75	0.27	8.72	11.84	#B0B0B0
27	0.309	8.05	11.83	#B0B0B0
27.25	0.033	8.02	11.84	#B0B0B0
27.5	0.165	8.47	11.96	#B0B0B0
27.75	0.108	8.9	12.18	#B0B0B0
28	0.095	9.26	12.04	#B0B0B0
28.25	0.191	9.15	12.08	#B0B0B0
28.5	0.251	10.05	12.24	#B0B0B0
28.75	0.171	9.11	12.24	#B0B0B0
29	0.053	9.85	12.31	#B0B0B0
29.25	0.043	10.32	12.25	#B0B0B0
29.5	0.093	9.28	12.51	#B0B0B0
29.75	0.066	9.91	12.33	#B0B0B0
30	0.106	9.64	12.62	#B0B0B0
30.25	0.164	11.09	12.98	#B0B0B0
30.5	0.025	10.82	12.75	#B0B0B0
30.75	0.071	9.28	12.88	#B0B0B0
31	0.095	10.7	12.88	#B0B0B0
31.25	0.333	10.2	12.93	#B0B0B0
31.5	0.099	10.34	13.26	#B0B0B0
31.75	0.093	10.61	13.12	#B0B0B0
32	0.139	10.78	13.06	#B0B0B0
32.25	0.046	9.86	13.36	#B0B0B0
32.5	0.21	9.92	13.33	#B0B0B0
32.75	0.009	10.49	12.97	#B0B0B0
33	0.169	9.57	13.69	#B0B0B0
33.25	0.123	9.39	13.64	#B0B0B0
33.5	0.076	8.37	13.93	#B0B0B0
33.75	0.094	10.25	13.97	#B0B0B0
34	0.261	9.69	14.09	#B0B0B0
34.25	0.154	9.46	13.87	#B0B0B0
34.5	0.085	9.7	14.23	#B0B0B0
34.75	0.015	8.76	14.53	#B0B0B0
35	0.201	9.38	14.63	#B0B0B0
35.25	0.093	8.94	15.08	#B0B0B0
35.5	0.006	9.32	14.97	#B0B0B0
35.75	0.086	8.22	15.01	#B0B0B0
36	0.291	8.78	15	#B0B0B0
36.25	0.372	8.63	15.49	#B0B0B0
36.5	0.158	8.11	15.72	#B0B0B0
36.75	0.052	8.55	15.71	#B0B0B0
37	0.004	8.04	15.59	#B0B0B0
37.25	0.069	8.32	16.13	#B0B0B0
37.5	0.021	8.23	16	#B0B0B0
