Depth	Signal	EC.Value	HP.PresDown	color
19.75	0.143	8.08	7.59	#B0B0B0
20	0.225	6.28	7.27	#B0B0B0
20.25	0.14	5.73	7.32	#B0B0B0
20.5	0.036	6.08	7.37	#B0B0B0
20.75	0.064	6.43	7.5	#B0B0B0
21	0.167	5.4	7.79	#B0B0B0
21.25	0.187	5.95	8.14	#B0B0B0
21.5	0.21	6.46	8.62	#B0B0B0
21.75	0.134	7.51	9.27	#B0B0B0
22	0.156	7.13	9.39	#B0B0B0
22.25	0.005	8.18	9.72	#B0B0B0
22.5	0.062	8.59	10.17	#B0B0B0
22.75	0.06	7.17	10.4	#B0B0B0
23	0.081	8.22	10.28	#B0B0B0
23.25	0.025	8.56	10.19	#B0B0B0
23.5	0.095	8.21	10.51	#B0B0B0
23.75	0.085	8.48	10.76	#B0B0B0
24	0.132	7.08	11.12	#B0B0B0
24.25	0.044	7.65	10.77	#B0B0B0
24.5	0.003	7.84	10.93	#B0B0B0
24.75	0.276	8.87	11.08	#B0B0B0
25	0.21	8.11	10.97	#B0B0B0
25.25	0.054	7.96	11.33	#B0B0B0
25.5	0.229	8.01	11.51	#B0B0B0
25.75	0.043	9.4	11.72	#B0B0B0
26	0.229	8.59	11.48	#B0B0B0
26.25	0.08	7.68	11.58	#B0B0B0
26.5	0.18	8.86	11.84	#B0B0B0
26.75	0.076	8.57	11.81	#B0B0B0
27	0.078	8.39	11.76	#B0B0B0
27.25	0.067	8.87	11.83	#B0B0B0
27.5	0.079	9.13	11.92	#B0B0B0
27.75	0.086	9.18	11.93	#B0B0B0
28	0.178	9.01	11.98	#B0B0B0
28.25	0.03	9.34	12.17	#B0B0B0
28.5	0.059	10.61	12.21	#B0B0B0
28.75	0.08	10.17	12.36	#B0B0B0
29	0.303	10.3	12.27	#B0B0B0
29.25	0.001	9.61	12.38	#B0B0B0
29.5	0.174	10.45	12.68	#B0B0B0
29.75	0.068	10.99	12.4	#B0B0B0
30	0.019	10.18	12.44	#B0B0B0
30.25	0.129	10.6	12.75	#B0B0B0
30.5	0.066	10.56	12.76	#B0B0B0
30.75	0.073	9.5	12.61	#B0B0B0
31	0.055	10.53	12.74	#B0B0B0
31.25	0.246	11.04	13.02	#B0B0B0
31.5	0.189	10.16	13.22	#B0B0B0
31.75	0.173	9.59	12.92	#B0B0B0
32	0.199	9.59	12.89	#B0B0B0
32.25	0.01	9.39	13.39	#B0B0B0
32.5	0.189	10.1	13.5	#B0B0B0
32.75	0.106	10.59	13.59	#B0B0B0
33	0.066	9.95	13.47	#B0B0B0
33.25	0.07	10.15	13.61	#B0B0B0
33.5	0.062	9.18	13.89	#B0B0B0
33.75	0.071	9.14	13.71	#B0B0B0
34	0.173	9.47	14.22	#B0B0B0
34.25	0.135	9.43	14.23	#B0B0B0
34.5	0.07	9.94	14.54	#B0B0B0
34.75	0.169	9.91	14.41	#B0B0B0
35	0.085	8.07	14.73	#B0B0B0
35.25	0.053	8.55	14.97	#B0B0B0
35.5	0.151	8.78	14.95	#B0B0B0
35.75	0.123	8.7	14.95	#B0B0B0
36	0.006	8.31	15.08	#B0B0B0
36.25	0.007	7.67	15.27	#B0B0B0
36.5	0.111	8.71	15.45	#B0B0B0
